timestamp,url,user_agent
2018-03-01T00:00:00,https://myawesomesite.com/consectetur,Opera/8.55.(X11; Linux i686; nr-ZA) Presto/2.9.180 Version/10.00
2018-03-01T00:00:35,http://www.myawesomesite.com/veritatis-pariatur,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/5.0)
2018-03-01T00:01:15,http://www.myawesomesite.com/quos-sint-rerum,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/3.0)
2018-03-01T00:01:44,http://www.myawesomesite.com/occaecati-cum-ex,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1; rv:1.9.5.20) Gecko/2012-11-30 12:52:58 Firefox/3.8
2018-03-01T00:02:34,http://www.myawesomesite.com/dicta-consequuntur,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/5.0)
2018-03-01T00:03:23,http://www.myawesomesite.com/accusantium-hic,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/5.1)
2018-03-01T00:03:51,https://myawesomesite.com/nam-nihil-est,Mozilla/5.0 (Windows 98; brx-IN; rv:1.9.0.20) Gecko/2017-11-28 11:54:36 Firefox/3.8
2018-03-01T00:04:15,http://www.myawesomesite.com/sed-nostrum-totam,Opera/9.44.(X11; Linux x86_64; fy-DE) Presto/2.9.183 Version/10.00
2018-03-01T00:04:45,http://www.myawesomesite.com/eos-itaque-suscipit,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; hak-TW) AppleWebKit/534.25.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6534.25.6"
2018-03-01T00:05:15,http://www.myawesomesite.com/excepturi-fuga,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.31.6 (KHTML, like Gecko) Version/5.0.4 Safari/534.31.6"
2018-03-01T00:05:55,https://myawesomesite.com/nobis-dolorum,Opera/8.95.(X11; Linux x86_64; nr-ZA) Presto/2.9.161 Version/12.00
2018-03-01T00:06:16,https://myawesomesite.com/cum-aut-quam,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5332 (KHTML, like Gecko) Chrome/15.0.868.0 Safari/5332"
2018-03-01T00:06:44,http://www.myawesomesite.com/architecto-ipsum,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7; rv:1.9.5.20) Gecko/2011-08-21 00:55:42 Firefox/3.6.16
2018-03-01T00:07:30,https://myawesomesite.com/amet-dicta,Opera/8.50.(Windows NT 5.1; ar-JO) Presto/2.9.162 Version/12.00
2018-03-01T00:07:55,http://www.myawesomesite.com/esse-laudantium,Opera/8.63.(X11; Linux x86_64; lg-UG) Presto/2.9.160 Version/11.00
2018-03-01T00:08:18,http://www.myawesomesite.com/cum-reprehenderit,Opera/9.84.(X11; Linux x86_64; am-ET) Presto/2.9.187 Version/11.00
2018-03-01T00:09:08,https://myawesomesite.com/atque,Opera/9.71.(Windows NT 6.2; ce-RU) Presto/2.9.170 Version/11.00
2018-03-01T00:09:47,http://www.myawesomesite.com/et-quisquam-ipsa,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1)
2018-03-01T00:10:25,https://myawesomesite.com/dolore-illo,Mozilla/5.0 (Windows NT 6.0; cy-GB; rv:1.9.2.20) Gecko/2017-11-04 01:38:16 Firefox/3.6.18
2018-03-01T00:11:12,http://www.myawesomesite.com/beatae-quos-sint,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8; rv:1.9.6.20) Gecko/2012-10-01 17:55:24 Firefox/3.6.14
2018-03-01T00:11:33,https://myawesomesite.com/nostrum,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.0)
2018-03-01T00:12:11,https://myawesomesite.com/odio-quae-ut,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.891.0 Safari/5330"
2018-03-01T00:12:32,https://myawesomesite.com/magnam-ad,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0)
2018-03-01T00:13:22,https://myawesomesite.com/neque-aperiam,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/5.1)
2018-03-01T00:13:47,http://www.myawesomesite.com/rerum-vel-rerum,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; bho-IN) AppleWebKit/533.33.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.33.5"
